===== ROUGE Scores (documents) =====
                                   rouge-1                               rouge-2                               rouge-l
0        {'r': 0.51, 'p': 0.14, 'f': 0.22}   {'r': 0.14, 'p': 0.032, 'f': 0.052}  {'r': 0.449, 'p': 0.124, 'f': 0.194}
1     {'r': 0.857, 'p': 0.106, 'f': 0.188}    {'r': 0.667, 'p': 0.054, 'f': 0.1}     {'r': 0.81, 'p': 0.1, 'f': 0.178}
2     {'r': 0.485, 'p': 0.103, 'f': 0.169}  {'r': 0.143, 'p': 0.022, 'f': 0.038}  {'r': 0.455, 'p': 0.096, 'f': 0.159}
3       {'r': 0.833, 'p': 0.14, 'f': 0.24}   {'r': 0.526, 'p': 0.07, 'f': 0.123}    {'r': 0.833, 'p': 0.14, 'f': 0.24}
4     {'r': 0.871, 'p': 0.114, 'f': 0.202}  {'r': 0.613, 'p': 0.047, 'f': 0.087}   {'r': 0.839, 'p': 0.11, 'f': 0.195}
5     {'r': 0.314, 'p': 0.087, 'f': 0.137}   {'r': 0.026, 'p': 0.006, 'f': 0.01}    {'r': 0.2, 'p': 0.056, 'f': 0.087}
6     {'r': 0.429, 'p': 0.182, 'f': 0.255}  {'r': 0.069, 'p': 0.025, 'f': 0.037}  {'r': 0.321, 'p': 0.136, 'f': 0.191}
7     {'r': 0.667, 'p': 0.101, 'f': 0.175}   {'r': 0.241, 'p': 0.022, 'f': 0.04}  {'r': 0.633, 'p': 0.095, 'f': 0.166}
8     {'r': 0.667, 'p': 0.248, 'f': 0.362}  {'r': 0.375, 'p': 0.114, 'f': 0.175}  {'r': 0.549, 'p': 0.204, 'f': 0.298}
9     {'r': 0.652, 'p': 0.158, 'f': 0.254}  {'r': 0.435, 'p': 0.082, 'f': 0.138}  {'r': 0.609, 'p': 0.147, 'f': 0.237}
10    {'r': 0.561, 'p': 0.178, 'f': 0.271}  {'r': 0.163, 'p': 0.039, 'f': 0.063}  {'r': 0.488, 'p': 0.155, 'f': 0.235}
11    {'r': 0.714, 'p': 0.074, 'f': 0.135}  {'r': 0.233, 'p': 0.013, 'f': 0.025}  {'r': 0.643, 'p': 0.067, 'f': 0.121}
12    {'r': 0.677, 'p': 0.095, 'f': 0.167}  {'r': 0.324, 'p': 0.028, 'f': 0.051}  {'r': 0.581, 'p': 0.082, 'f': 0.143}
13     {'r': 0.778, 'p': 0.171, 'f': 0.28}  {'r': 0.447, 'p': 0.062, 'f': 0.109}  {'r': 0.711, 'p': 0.156, 'f': 0.256}
14    {'r': 0.429, 'p': 0.094, 'f': 0.154}    {'r': 0.25, 'p': 0.04, 'f': 0.068}  {'r': 0.429, 'p': 0.094, 'f': 0.154}
