===== BERTS Scores (documents) =====
      precision  recall     f1
0         0.419   0.622  0.512
1         0.337   0.637  0.466
2         0.323   0.539  0.420
3         0.375   0.682  0.508
4         0.299   0.589  0.424
5         0.385   0.616  0.489
6         0.524   0.679  0.597
7         0.318   0.571  0.430
8         0.420   0.611  0.508
9         0.379   0.625  0.489
10        0.445   0.627  0.530
11        0.298   0.541  0.406
12        0.387   0.620  0.492
13        0.327   0.561  0.432
14        0.268   0.483  0.364
15        0.436   0.596  0.511
16        0.297   0.566  0.415
17        0.279   0.550  0.397
18        0.323   0.553  0.426
19        0.310   0.562  0.421
20        0.440   0.648  0.535
21        0.354   0.568  0.451
22        0.332   0.587  0.445
23        0.387   0.618  0.491
24        0.272   0.526  0.384
25        0.373   0.597  0.474
26        0.398   0.682  0.522
27        0.356   0.568  0.452
28        0.337   0.648  0.470
29        0.365   0.601  0.471
30        0.361   0.583  0.461
31        0.403   0.639  0.509
32        0.278   0.539  0.392
33        0.353   0.580  0.455
34        0.401   0.608  0.495
35        0.295   0.601  0.426
36        0.281   0.607  0.419
37        0.338   0.622  0.462
38        0.269   0.560  0.394
39        0.229   0.458  0.331
40        0.342   0.535  0.431
41        0.417   0.673  0.531
42        0.366   0.656  0.493
43        0.335   0.599  0.451
44        0.392   0.632  0.500
45        0.321   0.602  0.443
46        0.296   0.578  0.418
47        0.466   0.642  0.548
48        0.464   0.691  0.567
49        0.298   0.541  0.406
50        0.263   0.535  0.381
51        0.441   0.638  0.532
52        0.481   0.676  0.571
53        0.390   0.665  0.511
54        0.242   0.523  0.363
55        0.339   0.590  0.450
56        0.407   0.625  0.506
57        0.330   0.599  0.448
58        0.320   0.578  0.434
59        0.405   0.666  0.521
60        0.433   0.700  0.551
61        0.326   0.479  0.398
62        0.467   0.619  0.539
63        0.325   0.622  0.453
64        0.410   0.623  0.507
65        0.389   0.646  0.503
66        0.349   0.603  0.461
67        0.340   0.565  0.441
68        0.235   0.531  0.361
69        0.467   0.672  0.561
70        0.326   0.517  0.413
71        0.341   0.643  0.472
72        0.422   0.670  0.533
73        0.447   0.666  0.547
74        0.370   0.542  0.450
75        0.289   0.552  0.404
76        0.303   0.596  0.430
77        0.367   0.610  0.476
78        0.332   0.606  0.452
79        0.381   0.636  0.494
80        0.407   0.615  0.502
81        0.333   0.574  0.440
82        0.467   0.694  0.570
83        0.414   0.637  0.515
84        0.439   0.678  0.546
85        0.367   0.642  0.488
86        0.440   0.614  0.521
87        0.375   0.651  0.496
88        0.271   0.561  0.395
89        0.272   0.492  0.370
90        0.405   0.633  0.508
91        0.441   0.602  0.517
92        0.277   0.578  0.405
93        0.293   0.575  0.415
94        0.328   0.597  0.446
95        0.377   0.585  0.472
96        0.405   0.579  0.486
97        0.368   0.647  0.490
98        0.419   0.662  0.528
99        0.444   0.646  0.537
100       0.367   0.622  0.480
101       0.347   0.559  0.443
102       0.365   0.613  0.476
103       0.440   0.605  0.517
104       0.377   0.606  0.480
105       0.252   0.543  0.377
106       0.381   0.604  0.482
107       0.477   0.644  0.555
108       0.391   0.572  0.475
109       0.343   0.546  0.436
110       0.308   0.532  0.408
111       0.316   0.587  0.434
112       0.335   0.614  0.456
113       0.364   0.603  0.471
114       0.341   0.570  0.444
115       0.340   0.585  0.449
116       0.304   0.598  0.431
117       0.433   0.721  0.560
118       0.516   0.730  0.614
119       0.351   0.551  0.442
120       0.346   0.630  0.470
121       0.344   0.610  0.461
122       0.322   0.628  0.453
123       0.411   0.632  0.511
124       0.438   0.666  0.541
125       0.536   0.691  0.609
126       0.316   0.635  0.452
127       0.357   0.607  0.468
128       0.340   0.577  0.446
129       0.312   0.617  0.443
130       0.514   0.640  0.575
131       0.424   0.623  0.515
132       0.332   0.581  0.442
133       0.493   0.629  0.558
134       0.424   0.582  0.498
135       0.403   0.643  0.511
136       0.341   0.593  0.453
137       0.403   0.638  0.509
138       0.398   0.663  0.515
139       0.400   0.659  0.515
140       0.510   0.632  0.569
141       0.428   0.650  0.529
142       0.362   0.618  0.476
143       0.484   0.683  0.576
144       0.305   0.600  0.432
145       0.422   0.685  0.539
146       0.454   0.620  0.532
147       0.315   0.582  0.432
148       0.481   0.718  0.588
149       0.433   0.612  0.516
150       0.416   0.687  0.536
151       0.303   0.569  0.419
152       0.352   0.583  0.456
153       0.282   0.592  0.414
154       0.473   0.671  0.564
155       0.375   0.598  0.476
156       0.397   0.632  0.503
157       0.316   0.572  0.429
158       0.304   0.576  0.423
159       0.330   0.633  0.461
160       0.441   0.664  0.542
161       0.273   0.558  0.396
162       0.543   0.711  0.622
163       0.353   0.582  0.456
164       0.331   0.625  0.459
165       0.294   0.511  0.392
166       0.384   0.587  0.477
167       0.297   0.595  0.425
168       0.439   0.662  0.540
169       0.413   0.661  0.524
170       0.336   0.604  0.454
171       0.307   0.560  0.419
172       0.378   0.633  0.491
173       0.370   0.527  0.443
174       0.418   0.629  0.514
175       0.370   0.559  0.457
176       0.346   0.618  0.465
177       0.381   0.547  0.458
178       0.386   0.639  0.499
179       0.397   0.604  0.491
180       0.367   0.561  0.456
181       0.407   0.620  0.504
182       0.382   0.636  0.495
183       0.418   0.672  0.531
184       0.496   0.699  0.589
185       0.370   0.600  0.474
186       0.324   0.594  0.442
187       0.402   0.632  0.506
188       0.337   0.588  0.448
189       0.427   0.642  0.525
190       0.333   0.546  0.430
191       0.450   0.653  0.543
192       0.451   0.649  0.542
193       0.370   0.559  0.457
194       0.364   0.577  0.461
195       0.315   0.599  0.439
196       0.412   0.656  0.522
197       0.392   0.672  0.515
198       0.478   0.703  0.581
199       0.436   0.641  0.530
200       0.416   0.653  0.523
201       0.413   0.665  0.526
202       0.340   0.587  0.450
203       0.450   0.677  0.553
204       0.269   0.495  0.369
205       0.304   0.598  0.431
206       0.365   0.581  0.463
207       0.483   0.628  0.552
208       0.345   0.604  0.459
209       0.342   0.639  0.470
210       0.440   0.628  0.527
211       0.335   0.568  0.439
212       0.446   0.648  0.538
213       0.422   0.627  0.516
214       0.454   0.615  0.529
215       0.385   0.585  0.477
216       0.286   0.633  0.431
217       0.309   0.467  0.383
218       0.399   0.658  0.514
219       0.428   0.567  0.494
220       0.375   0.630  0.489
221       0.392   0.677  0.517
222       0.476   0.670  0.566
223       0.293   0.555  0.408
224       0.221   0.551  0.358
225       0.369   0.598  0.472
226       0.252   0.542  0.376
227       0.351   0.608  0.465
228       0.311   0.619  0.443
229       0.393   0.619  0.495
230       0.332   0.605  0.452
231       0.437   0.650  0.534
232       0.385   0.653  0.503
233       0.397   0.609  0.494
234       0.386   0.628  0.494
235       0.380   0.612  0.484
236       0.355   0.622  0.473
237       0.521   0.586  0.554
238       0.413   0.690  0.535
239       0.369   0.652  0.493
240       0.284   0.591  0.415
241       0.300   0.582  0.422
242       0.442   0.578  0.507
243       0.357   0.575  0.456
244       0.413   0.645  0.518
245       0.302   0.566  0.418
246       0.324   0.591  0.441
247       0.308   0.519  0.403
248       0.431   0.616  0.517
249       0.311   0.597  0.435
250       0.395   0.565  0.474
251       0.301   0.603  0.431
252       0.260   0.488  0.362
253       0.318   0.582  0.434
254       0.327   0.558  0.431
255       0.366   0.608  0.474
256       0.409   0.686  0.531
257       0.388   0.608  0.488
258       0.287   0.453  0.364
259       0.463   0.668  0.557
260       0.355   0.599  0.464
261       0.276   0.520  0.384
262       0.455   0.648  0.544
263       0.369   0.610  0.477
264       0.285   0.550  0.401
265       0.296   0.630  0.437
266       0.325   0.559  0.429
267       0.327   0.562  0.432
268       0.461   0.640  0.544
269       0.333   0.597  0.449
270       0.402   0.638  0.508
271       0.419   0.675  0.533
272       0.496   0.680  0.581
273       0.435   0.642  0.530
274       0.277   0.573  0.404
275       0.446   0.650  0.540
276       0.290   0.526  0.395
277       0.375   0.591  0.473
278       0.328   0.555  0.430
279       0.495   0.690  0.585
280       0.330   0.583  0.442
281       0.364   0.561  0.454
282       0.290   0.618  0.428
283       0.457   0.727  0.577
284       0.298   0.582  0.421
285       0.352   0.590  0.458
286       0.398   0.586  0.485
287       0.361   0.591  0.465
288       0.358   0.587  0.461
289       0.429   0.635  0.524
290       0.330   0.561  0.433
291       0.343   0.590  0.453
292       0.473   0.634  0.548
293       0.350   0.600  0.461
294       0.336   0.651  0.471
295       0.449   0.680  0.554
296       0.282   0.535  0.394
297       0.287   0.504  0.384
298       0.459   0.624  0.536
299       0.331   0.594  0.447
300       0.425   0.591  0.503
301       0.314   0.525  0.409
302       0.323   0.571  0.433
303       0.365   0.626  0.480
304       0.369   0.622  0.481
305       0.380   0.573  0.469
306       0.299   0.553  0.411
307       0.364   0.620  0.478
308       0.516   0.718  0.609
309       0.316   0.565  0.427
310       0.350   0.575  0.451
311       0.378   0.554  0.460
312       0.356   0.584  0.458
313       0.369   0.632  0.485
314       0.374   0.660  0.499
315       0.426   0.591  0.503
316       0.337   0.533  0.427
317       0.393   0.631  0.500
318       0.357   0.667  0.491
319       0.265   0.516  0.375
320       0.403   0.597  0.492
321       0.314   0.613  0.443
322       0.484   0.609  0.544
323       0.353   0.645  0.480
324       0.314   0.627  0.447
325       0.409   0.638  0.513
326       0.362   0.567  0.455
327       0.302   0.642  0.445
328       0.246   0.546  0.374
329       0.336   0.582  0.445
