===== ROUGE Scores (documents) =====
                                   rouge-1                               rouge-2                               rouge-l
0      {'r': 0.347, 'p': 0.12, 'f': 0.178}  {'r': 0.105, 'p': 0.029, 'f': 0.045}  {'r': 0.245, 'p': 0.085, 'f': 0.126}
1     {'r': 0.619, 'p': 0.087, 'f': 0.153}  {'r': 0.381, 'p': 0.037, 'f': 0.067}  {'r': 0.571, 'p': 0.081, 'f': 0.141}
2     {'r': 0.485, 'p': 0.125, 'f': 0.199}  {'r': 0.143, 'p': 0.027, 'f': 0.045}  {'r': 0.455, 'p': 0.117, 'f': 0.186}
3     {'r': 0.778, 'p': 0.152, 'f': 0.255}  {'r': 0.526, 'p': 0.081, 'f': 0.141}  {'r': 0.778, 'p': 0.152, 'f': 0.255}
4      {'r': 0.516, 'p': 0.087, 'f': 0.15}  {'r': 0.161, 'p': 0.015, 'f': 0.028}  {'r': 0.452, 'p': 0.077, 'f': 0.131}
5     {'r': 0.229, 'p': 0.085, 'f': 0.124}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.143, 'p': 0.053, 'f': 0.078}
6       {'r': 0.286, 'p': 0.154, 'f': 0.2}        {'r': 0.0, 'p': 0.0, 'f': 0.0}   {'r': 0.25, 'p': 0.135, 'f': 0.175}
7       {'r': 0.4, 'p': 0.076, 'f': 0.128}  {'r': 0.103, 'p': 0.012, 'f': 0.021}   {'r': 0.367, 'p': 0.07, 'f': 0.118}
8     {'r': 0.392, 'p': 0.175, 'f': 0.242}  {'r': 0.143, 'p': 0.052, 'f': 0.076}   {'r': 0.314, 'p': 0.14, 'f': 0.194}
9        {'r': 0.435, 'p': 0.13, 'f': 0.2}  {'r': 0.217, 'p': 0.051, 'f': 0.082}   {'r': 0.391, 'p': 0.117, 'f': 0.18}
10    {'r': 0.317, 'p': 0.126, 'f': 0.181}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.268, 'p': 0.107, 'f': 0.153}
11    {'r': 0.464, 'p': 0.056, 'f': 0.099}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.429, 'p': 0.051, 'f': 0.092}
12    {'r': 0.484, 'p': 0.078, 'f': 0.135}  {'r': 0.147, 'p': 0.015, 'f': 0.027}   {'r': 0.323, 'p': 0.052, 'f': 0.09}
13    {'r': 0.444, 'p': 0.123, 'f': 0.192}  {'r': 0.043, 'p': 0.007, 'f': 0.013}  {'r': 0.356, 'p': 0.098, 'f': 0.154}
14      {'r': 0.229, 'p': 0.064, 'f': 0.1}  {'r': 0.028, 'p': 0.006, 'f': 0.009}  {'r': 0.171, 'p': 0.048, 'f': 0.075}
15    {'r': 0.556, 'p': 0.156, 'f': 0.244}   {'r': 0.13, 'p': 0.022, 'f': 0.037}   {'r': 0.46, 'p': 0.129, 'f': 0.202}
16    {'r': 0.259, 'p': 0.046, 'f': 0.078}  {'r': 0.037, 'p': 0.005, 'f': 0.009}  {'r': 0.148, 'p': 0.026, 'f': 0.045}
17    {'r': 0.654, 'p': 0.106, 'f': 0.183}  {'r': 0.222, 'p': 0.025, 'f': 0.045}     {'r': 0.5, 'p': 0.081, 'f': 0.14}
18    {'r': 0.394, 'p': 0.055, 'f': 0.097}  {'r': 0.176, 'p': 0.016, 'f': 0.029}  {'r': 0.394, 'p': 0.055, 'f': 0.097}
19    {'r': 0.216, 'p': 0.075, 'f': 0.112}  {'r': 0.026, 'p': 0.006, 'f': 0.009}  {'r': 0.189, 'p': 0.066, 'f': 0.098}
20    {'r': 0.419, 'p': 0.191, 'f': 0.263}   {'r': 0.281, 'p': 0.102, 'f': 0.15}  {'r': 0.387, 'p': 0.176, 'f': 0.242}
21    {'r': 0.538, 'p': 0.118, 'f': 0.194}  {'r': 0.171, 'p': 0.023, 'f': 0.041}  {'r': 0.385, 'p': 0.084, 'f': 0.138}
22    {'r': 0.429, 'p': 0.102, 'f': 0.164}   {'r': 0.25, 'p': 0.038, 'f': 0.066}  {'r': 0.429, 'p': 0.102, 'f': 0.164}
23     {'r': 0.185, 'p': 0.051, 'f': 0.08}  {'r': 0.036, 'p': 0.008, 'f': 0.014}   {'r': 0.185, 'p': 0.051, 'f': 0.08}
24     {'r': 0.542, 'p': 0.09, 'f': 0.154}    {'r': 0.16, 'p': 0.02, 'f': 0.035}   {'r': 0.458, 'p': 0.076, 'f': 0.13}
25     {'r': 0.55, 'p': 0.157, 'f': 0.244}  {'r': 0.106, 'p': 0.021, 'f': 0.035}    {'r': 0.5, 'p': 0.143, 'f': 0.222}
26    {'r': 0.575, 'p': 0.129, 'f': 0.211}  {'r': 0.429, 'p': 0.065, 'f': 0.112}  {'r': 0.575, 'p': 0.129, 'f': 0.211}
27    {'r': 0.383, 'p': 0.124, 'f': 0.187}    {'r': 0.1, 'p': 0.022, 'f': 0.036}  {'r': 0.383, 'p': 0.124, 'f': 0.187}
28     {'r': 0.65, 'p': 0.127, 'f': 0.213}   {'r': 0.368, 'p': 0.051, 'f': 0.09}   {'r': 0.65, 'p': 0.127, 'f': 0.213}
29     {'r': 0.35, 'p': 0.118, 'f': 0.176}   {'r': 0.075, 'p': 0.018, 'f': 0.03}    {'r': 0.3, 'p': 0.101, 'f': 0.151}
30    {'r': 0.293, 'p': 0.057, 'f': 0.095}  {'r': 0.064, 'p': 0.009, 'f': 0.016}  {'r': 0.268, 'p': 0.052, 'f': 0.087}
31    {'r': 0.647, 'p': 0.117, 'f': 0.198}  {'r': 0.154, 'p': 0.016, 'f': 0.029}  {'r': 0.647, 'p': 0.117, 'f': 0.198}
32      {'r': 0.32, 'p': 0.052, 'f': 0.09}  {'r': 0.038, 'p': 0.005, 'f': 0.008}    {'r': 0.32, 'p': 0.052, 'f': 0.09}
33    {'r': 0.436, 'p': 0.061, 'f': 0.107}   {'r': 0.125, 'p': 0.01, 'f': 0.019}     {'r': 0.41, 'p': 0.057, 'f': 0.1}
34      {'r': 0.511, 'p': 0.1, 'f': 0.168}  {'r': 0.264, 'p': 0.035, 'f': 0.061}  {'r': 0.489, 'p': 0.096, 'f': 0.161}
35    {'r': 0.296, 'p': 0.051, 'f': 0.087}  {'r': 0.115, 'p': 0.014, 'f': 0.025}  {'r': 0.296, 'p': 0.051, 'f': 0.087}
36    {'r': 0.185, 'p': 0.053, 'f': 0.083}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.148, 'p': 0.043, 'f': 0.066}
37     {'r': 0.286, 'p': 0.076, 'f': 0.12}        {'r': 0.0, 'p': 0.0, 'f': 0.0}    {'r': 0.238, 'p': 0.063, 'f': 0.1}
38      {'r': 0.5, 'p': 0.064, 'f': 0.114}  {'r': 0.087, 'p': 0.007, 'f': 0.013}    {'r': 0.5, 'p': 0.064, 'f': 0.114}
39    {'r': 0.467, 'p': 0.063, 'f': 0.112}  {'r': 0.067, 'p': 0.005, 'f': 0.009}  {'r': 0.467, 'p': 0.063, 'f': 0.112}
40    {'r': 0.143, 'p': 0.035, 'f': 0.056}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.086, 'p': 0.021, 'f': 0.034}
41     {'r': 0.444, 'p': 0.184, 'f': 0.26}   {'r': 0.167, 'p': 0.05, 'f': 0.077}  {'r': 0.361, 'p': 0.149, 'f': 0.211}
42       {'r': 0.568, 'p': 0.1, 'f': 0.17}  {'r': 0.237, 'p': 0.026, 'f': 0.047}  {'r': 0.541, 'p': 0.095, 'f': 0.162}
43    {'r': 0.462, 'p': 0.117, 'f': 0.186}   {'r': 0.12, 'p': 0.019, 'f': 0.033}  {'r': 0.308, 'p': 0.078, 'f': 0.124}
44    {'r': 0.344, 'p': 0.051, 'f': 0.089}  {'r': 0.032, 'p': 0.003, 'f': 0.005}  {'r': 0.281, 'p': 0.042, 'f': 0.073}
45     {'r': 0.409, 'p': 0.08, 'f': 0.133}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.318, 'p': 0.062, 'f': 0.104}
46     {'r': 0.391, 'p': 0.04, 'f': 0.072}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.348, 'p': 0.035, 'f': 0.064}
47    {'r': 0.455, 'p': 0.139, 'f': 0.213}   {'r': 0.056, 'p': 0.012, 'f': 0.02}   {'r': 0.394, 'p': 0.12, 'f': 0.184}
48    {'r': 0.393, 'p': 0.204, 'f': 0.268}  {'r': 0.143, 'p': 0.063, 'f': 0.088}  {'r': 0.357, 'p': 0.185, 'f': 0.244}
